,PLACES,LINKS FOR MORE INFORMATION,AVERAGE WEEKLY EXPENSE PER PERSON,BEST TIME TO VISIT,BEST SAVINGS DEAL
0,"1. Wildwood Crest, New Jersey",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g46932-Wildwood_Crest_Cape_May_County_New_Jersey-Vacations.html,"$2,064",May 29  June 4,"$1,424 (60% savings)"
1,"2. Ocean City, New Jersey",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g46696-Ocean_City_Cape_May_County_New_Jersey-Vacations.html,"$2,232",May 29  June 4,"$1,565 (58% savings)"
2,"3. Lake George, New York",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g48016-Lake_George_New_York-Vacations.html,"$1,810",June 12  June 18,"$1,540 (27% savings)"
3,"4. Bar Harbor, Maine",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g60709-Bar_Harbor_Mount_Desert_Island_Maine-Vacations.html,"$2,229",May 29  June 4,"$1,733 (43% savings)"
4,"5. Ocean City, Maryland",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g41298-Ocean_City_Maryland-Vacations.html,"$2,361",May 29  June 4,"$1,860 (41% savings)"
5,"6. Rehoboth Beach, Delaware",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g34048-Rehoboth_Beach_Delaware-Vacations.html,"$2,211",May 29  June 4,"$1,841 (30% savings)"
6,"7. Ogunquit, Maine",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g40790-Ogunquit_Maine-Vacations.html,"$1,982",May 29  June 4,"$1,403 (65% savings)"
7,"8. West Yellowstone, Montana",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g45399-West_Yellowstone_Montana-Vacations.html,"$3,019",August 28  September 3,"$2,857 (12% savings)"
8,"9. Montauk, New York",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g48194-Montauk_Long_Island_New_York-Vacations.html,"$4,011",June 5  11,"$2,971 (52% savings)"
9,"10. Cape May, New Jersey",http://www.anrdoezrs.net/links/7885612/type/dlg/sid/CLTripAdvisorTop50SummerSpotsLP51617/https://www.tripadvisor.com/Tourism-g46341-Cape_May_Cape_May_County_New_Jersey-Vacations.html,"$2,554",May 29  June 4,"$1,984 (42% savings)"
